#{"t_start": 1764997027.529922, "env_id": "Ant-v5"}
r,l,t
-12.071703,12,296.577355
-28.012982,22,296.616236
-15.716371,31,296.671261
-26.135285,15,297.545045
-16.53846,16,297.574467
-18.454982,18,297.60717
-110.820448,76,297.74325
-30.000949,48,298.707676
-56.179948,42,298.781686
-58.778302,41,298.854306
-48.960492,30,299.877007
-34.075612,29,299.929365
-18.211219,24,299.972731
-36.029868,26,300.019665
-67.258811,59,300.936063
-15.00967,15,300.963084
-175.701876,89,301.845631
-28.497522,16,301.874895
-87.550705,61,301.984562
-8.396999,23,302.025703
-43.853099,40,303.054735
-20.682462,34,303.114697
-78.401877,81,303.896671
-7.156631,12,303.9189
-10.338758,34,303.979424
-31.501528,37,304.045386
-7.17033,24,304.088066
-17.103797,26,304.999968
-80.329033,100,305.175776
-28.794098,16,305.204215
-19.730748,15,305.830977
-24.483814,12,305.8528
-55.876647,30,305.906247
-18.771368,13,305.929746
-20.544794,26,305.976119
-44.025743,31,306.031127
-21.741411,14,306.837209
-29.748932,22,306.876465
-27.770258,15,306.903713
-66.180479,59,307.008266
-22.999831,38,307.994198
-9.183277,11,308.014222
-53.462305,43,308.090003
-34.297398,57,308.190137
-20.06857,14,309.345656
-9.650735,36,309.409628
-41.399793,22,309.448856
-17.730079,16,309.477747
-41.484853,24,309.520524
-56.310405,34,310.401067
-16.220172,13,310.424502
-29.307766,21,310.463186
-61.299375,49,310.550515
-39.699736,35,311.506644
-86.04175,53,311.603813
-19.578852,13,311.628099
-899.644962,706,314.76521
-78.086718,69,314.886591
-833.018097,643,317.821028
-28.392455,14,317.84644
-49.187653,42,318.616137
-12.594672,11,318.635989
-41.906609,44,318.713951
-22.009583,30,318.76736
-64.376337,36,319.734655
-15.944618,13,319.758198
-28.259668,13,319.781537
-21.026409,15,319.808605
-4.672769,11,319.828388
-48.355227,42,319.902616
-21.197344,19,319.936456
-20.415666,14,319.961806
-101.759659,83,320.894833
-54.759556,40,320.965867
-42.074315,34,322.040887
-25.27669,12,322.062607
-27.254593,23,322.103745
-22.645495,15,322.130896
-43.553707,21,322.168689
-39.969411,19,322.202704
-23.613893,19,322.915442
-17.186436,13,322.938807
-11.076046,16,322.967495
-76.914293,112,324.019466
6.112406,30,324.073208
-21.449796,28,324.123504
-16.992983,12,324.145247
-50.79798,40,325.023404
-49.434161,52,325.11613
-34.739281,21,325.153813
-44.978044,37,325.220449
-25.622155,53,326.26927
-25.539957,28,326.319644
-20.754187,16,326.515518
-15.677353,11,326.538998
-24.301982,23,326.581863
-53.762587,25,327.442706
-28.295066,31,327.498651
-26.057106,18,327.531079
-95.206128,52,327.623398
-26.442081,18,328.507282
-16.988733,23,328.548653
-52.795548,21,328.586113
-13.093762,13,328.60997
-27.24497,35,328.672133
-16.126604,12,328.69392
-19.643392,30,329.503502
-16.101499,17,329.53433
-32.584119,16,329.563329
-54.955676,29,329.615584
-34.288088,26,329.662126
-9.513916,15,329.68919
-43.308745,26,330.373011
-42.052294,37,330.439026
-27.75957,32,330.495813
-20.009876,10,330.513948
-93.829909,69,331.577187
-19.908836,22,331.616202
-15.662708,11,331.636026
-25.593224,12,331.657633
-14.574852,19,331.691638
-12.650742,13,331.71507
-35.326354,21,332.408431
-23.474174,12,332.430335
-47.864927,24,332.473177
-45.741976,37,332.538944
-93.992487,49,332.626154
-25.287175,17,333.710218
-8.652528,16,333.738971
-29.1034,62,333.849283
-148.952749,78,334.945936
-85.073004,91,335.773561
-27.432698,37,335.839408
-20.153265,15,335.866475
-45.563396,29,335.918517
-3.50204,13,335.94218
-32.866375,45,336.872875
-20.856211,12,336.894631
-9.973695,13,336.917975
-19.346105,17,336.948476
-13.166036,14,336.97372
-33.969557,22,337.013253
-17.811243,20,337.048831
-43.658671,20,337.64495
-21.151569,10,337.663105
-38.650666,24,337.706065
-83.514377,38,337.773802
-31.761311,29,337.825786
-18.33838,13,337.84915
-33.710777,37,338.743472
-47.73043,24,338.786299
-39.910532,40,338.857487
-518.822697,365,340.711288
-119.488891,69,341.530744
-9.486224,14,341.555814
-26.049649,24,341.598423
-32.934113,21,341.63595
-27.324165,19,341.669941
-17.513185,13,341.693189
-30.287659,17,341.723661
-71.736191,39,342.385669
-153.527126,113,343.207853
-92.883387,51,343.300054
-28.748694,16,343.328865
-51.716173,32,343.385803
-11.533922,11,344.377581
-28.7122,16,344.406422
-2.236082,17,344.436974
-15.87453,11,344.456843
-15.124484,13,344.480336
-63.927323,44,344.558182
-78.553195,66,345.467878
-15.540314,12,345.489834
-9.566595,8,345.504402
-1240.63044,1000,349.118504
-19.69946,27,349.168958
-6.82792,14,349.195375
-66.781479,59,349.998281
-55.009145,66,350.115278
-44.467427,19,350.149565
-4.131097,36,351.355914
-70.906064,26,351.402696
-14.426181,20,351.43847
-197.896055,106,352.586159
-32.411703,39,352.655284
-921.504186,753,355.367006
-72.820967,48,355.45206
-7.405239,10,355.470186
-88.622037,62,356.594304
-24.81807,22,356.634073
-10.123378,12,356.655832
-26.507053,25,356.700526
-15.09102,8,356.715173
-17.724199,23,357.592173
-32.808651,21,357.629641
-12.867532,13,357.653105
-18.475703,11,357.672988
-43.76094,44,357.751294
-16.160297,23,357.792713
-18.049198,12,357.814493
-9.905867,21,358.651675
-17.781696,12,358.673419
-45.838887,36,358.737907
-33.873606,25,358.782377
-9.349551,20,358.818494
-11.506211,12,358.840246
-18.376116,13,359.622203
-22.607968,23,359.663116
-30.400093,11,359.6831
-101.753398,63,359.794847
-31.721434,20,359.830848
-14.633514,9,360.847736
-12.905652,10,360.865935
-26.427902,9,360.882308
-19.728412,31,360.937042
-1241.234782,1000,364.640398
-88.349817,53,364.734641
-58.624636,63,365.745153
-4.510386,13,365.768816
-56.291626,23,365.809924
-19.587142,14,365.835109
-4.518562,22,365.874444
-9.977218,9,365.890983
-12.682359,21,365.928293
-96.961352,57,366.672307
-22.644637,19,366.70629
-17.835622,25,366.750837
-49.908449,55,367.489614
-6.193582,11,367.509726
6.381021,30,367.563107
-47.409747,38,367.630727
-40.224727,21,367.672171
-109.989782,43,368.576005
-40.845432,31,368.63112
-31.84355,50,368.719935
-47.29936,27,369.832321
-29.001924,21,369.870134
-17.492675,9,369.886613
-69.555383,36,369.950975
-33.322241,23,369.992094
-34.264326,57,370.853348
-3.993489,17,370.883749
-19.816241,10,370.901958
-6.893335,21,370.939412
-117.978311,49,371.732298
-23.742522,23,371.773282
-107.070866,118,372.589344
-12.943921,27,372.637598
-19.762904,35,372.703542
-32.057203,23,372.744831
-15.589862,17,372.775257
-28.646257,42,373.588228
-44.448056,25,373.632631
-13.154611,10,373.651036
-18.406012,12,373.6729
-18.285019,12,373.694481
-58.072204,52,374.588706
-14.502068,33,374.647548
-1204.553179,1000,378.162512
-10.674533,19,378.197264
-33.614268,36,378.261548
-91.58856,64,379.295821
-1161.325107,1000,382.446197
-37.28158,26,383.269691
-22.017018,43,383.350101
-58.736812,29,383.401973
-36.538207,22,383.441326
-57.999397,97,384.427434
-43.965153,35,384.711054
-111.211364,64,385.945345
-49.373299,44,386.023554
-13.82808,11,386.043702
-26.373905,30,386.927773
-21.70659,17,386.95788
-21.018231,12,386.979695
-18.853801,11,386.999594
-53.392699,49,387.086515
-63.086299,55,388.021814
-63.235805,45,388.101312
-19.10488,16,388.130083
-15.109865,16,388.158913
-40.170393,24,388.2019
-16.184763,12,389.032531
-27.630017,12,389.054256
-36.182142,24,389.097277
-27.007789,24,389.140429
-26.411167,25,389.18517
-23.391092,24,389.228069
-71.622627,28,389.952418
-28.118482,14,389.977733
-37.873503,29,390.029395
-28.091094,16,390.058287
-929.193106,723,392.945789
-30.267991,40,393.017027
-135.883871,92,394.0249
-7.522087,26,394.071423
-14.066246,12,394.093149
-1035.794254,759,396.725571
-26.541125,11,396.745553
-13.883617,12,396.767359
-48.620223,45,397.336012
-21.076125,44,397.414502
-21.712515,27,397.462724
-29.4888,27,397.510975
-38.439473,26,398.44458
-32.528906,14,398.469821
-33.3607,18,398.502195
-55.058887,33,398.560869
-14.00313,40,398.63162
-13.603742,15,398.658838
0.546804,13,399.476475
-26.109393,24,399.51933
-46.570647,53,399.613742
-22.784621,25,399.65852
-160.301218,42,400.676676
-54.220397,37,400.742807
-12.933067,12,400.764533
-36.636331,18,400.797336
-20.234606,9,400.813864
-400.142323,312,402.41683
-60.002839,30,402.471662
-19.955291,16,402.500374
-61.152057,32,402.556975
-34.009711,17,402.58747
-25.7019,24,403.453695
-8.90603,25,403.498508
-21.487434,11,403.518412
-18.131073,15,403.545401
-17.100655,15,403.57247
-23.002516,13,403.595848
-28.931484,18,403.628407
-23.189789,18,404.258084
-21.459185,16,404.288116
-1204.922783,929,407.639995
-84.615532,81,408.517581
-29.668816,19,408.551723
-23.483016,14,408.577019
-98.72278,58,408.679883
-16.594376,47,409.735471
-1064.631218,797,412.551958
-114.970223,69,412.674305
-11.44057,9,412.690706
-1337.248801,1000,416.629624
-48.689424,33,417.346216
-40.699122,22,417.385791
-48.770257,26,417.431991
-44.509775,23,417.474749
-56.203473,29,417.529633
-63.003318,37,418.341256
-42.478311,23,418.382435
-17.708264,17,418.412971
-18.749435,13,418.436514
-12.904155,11,418.456451
-51.543547,30,418.51014
-6.49527,20,419.268681
-5.70111,10,419.28695
-19.562955,21,419.324517
-69.240563,40,419.396139
-47.069521,37,419.46243
-23.737574,21,420.358517
-14.547911,6,420.370138
-46.453847,31,420.426023
-150.148856,72,420.55361
-21.443824,25,421.620311
-66.818832,55,421.717449
-11.308285,17,421.748101
-31.566258,23,421.79016
-60.7183,31,422.753311
-1248.660497,1000,425.94736
-51.047136,30,426.72963
-38.979085,27,426.778583
-20.454279,20,426.814245
-53.583965,44,426.892092
-51.724659,59,427.87143
-65.309185,39,427.940921
-47.147806,16,427.969694
-44.382306,47,428.916737
-34.683988,32,428.974148
-1.743711,16,429.003049
-49.238053,24,429.046133
-16.423833,14,429.071641
-26.664922,28,429.121883
-179.207645,111,430.085766
-40.518672,38,430.808787
-9.152162,16,430.847768
-57.323351,30,430.911721
-33.342517,16,430.956001
-67.477097,35,431.11142
-11.45651,14,431.14507
-447.811141,307,432.89466
-95.190498,56,432.995739
-11.6227,12,433.017935
-0.013338,17,434.032973
-9.884584,28,434.084257
-31.117985,17,434.115392
-404.063731,272,436.344401
-44.515127,26,436.39135
-11.646612,22,436.431163
-95.841073,54,437.406525
-24.384474,59,437.513035
-61.874958,48,439.402455
-26.10357,15,439.438055
-12.050651,6,439.449358
-24.550522,28,439.51938
-26.885064,22,439.638529
-58.340301,44,440.63834
-1280.185798,1000,444.86435
-9.752625,13,444.888483
-66.377355,34,445.510988
-43.304487,27,445.559899
-11.470808,9,445.576579
-118.20095,47,445.66051
-23.941245,15,446.590109
-5.151329,13,446.614418
-50.76247,17,446.645472
-22.152913,19,446.680453
-60.635206,47,446.764998
-51.042527,24,446.808431
-18.636297,37,448.361607
-28.972331,21,448.402726
-9.961259,13,448.426145
-12.066612,45,448.505646
-5.850948,25,449.441283
-68.432278,48,449.528296
-31.275518,25,449.576718
-35.574153,25,449.621878
-21.183315,28,450.541559
-40.531289,28,450.592544
-15.129391,14,450.618476
-11.38889,39,450.688311
-90.435501,75,452.430046
-26.151119,17,452.460542
-31.610976,19,452.494612
-17.078052,11,452.514437
