#{"t_start": 1765339557.8015175, "env_id": "Ant-v5"}
r,l,t
-12.816821,32,73.463111
-13.370963,20,73.48013
-12.574862,16,73.493633
-36.567817,50,73.535621
-41.240494,51,73.578506
-4.158472,50,73.62042
-25.599868,54,73.66593
-19.085129,27,73.688883
-780.216976,1000,74.545836
-76.495362,93,74.624209
-25.615573,22,74.642912
-82.348817,88,74.973042
-18.806296,14,74.9851
-18.046957,29,75.009465
17.750791,32,75.036355
-28.291345,32,75.063254
-51.159166,67,75.119313
-22.7897,64,75.173273
-25.232328,19,75.189338
-53.975114,44,75.226382
-27.964057,21,75.244362
-10.478575,11,75.253673
-85.896533,72,75.314126
-7.775239,13,75.325016
-11.855856,25,75.346495
-25.430386,22,75.365019
-16.70221,19,75.381289
-21.291631,34,75.41006
-48.604163,88,75.484022
-46.702485,26,75.505882
-45.14803,34,75.534367
1.936906,20,75.551291
-15.624046,54,75.596967
-6.900248,20,75.613857
-59.133431,74,75.67589
-35.311934,21,75.693573
-37.023175,48,75.734024
-15.188905,25,75.755039
-12.674437,29,75.779472
-40.252525,45,75.817155
-35.886705,25,75.838046
-17.589349,40,75.871782
-66.262486,111,75.964737
-56.750715,32,75.991693
0.135455,13,76.002755
-27.504519,34,76.031012
-41.489142,35,76.060678
-144.722079,137,76.175501
-3.757391,7,76.181406
-6.348176,18,76.196614
-231.069029,264,76.417935
-11.033362,16,76.431465
-874.051503,1000,77.545153
-68.308261,45,77.583175
-12.114143,10,77.591756
-9.533098,24,77.611791
-35.206451,116,77.709471
-29.238072,21,77.727298
-54.894612,30,77.752289
-13.450804,33,77.780128
-11.966507,10,77.788579
-63.208638,62,77.84079
5.59917,93,77.91867
-26.533518,31,77.944767
-5.437512,24,77.964817
-22.946375,43,78.000856
-14.856845,19,78.017135
-19.392194,13,78.028078
-14.855349,35,78.057248
-5.580774,17,78.071695
-71.175154,60,78.122187
-38.096544,74,78.184177
-96.725967,88,78.258068
-829.671563,1000,79.37161
-21.577717,15,79.384684
-52.173316,88,79.458718
-24.555217,16,79.472283
-24.774764,29,79.496594
-728.492765,1000,80.355728
-4.769829,20,80.373185
-10.197533,13,80.384016
-75.568925,61,80.435148
-24.719902,35,80.464796
-85.732845,69,80.523142
-36.958858,79,80.589582
-17.234656,16,80.603026
-81.674298,56,80.904097
-33.545108,88,80.979194
-31.941842,41,81.013709
-28.817516,39,81.046633
-20.714626,21,81.064441
23.317119,29,81.089041
-16.049429,28,81.112541
-30.628434,33,81.140145
-17.208728,43,81.17633
-37.540686,63,81.514249
-36.984498,38,81.54912
-8.708856,35,81.578844
-845.197801,1000,82.438553
-26.070109,17,82.452909
-9.178012,50,82.494962
-27.185654,24,82.515298
-68.533026,69,82.573195
-5.596031,14,82.585042
-19.627152,27,82.607711
-18.739549,20,82.624532
-8.485366,72,82.68487
-21.759388,36,82.71519
-19.096105,17,82.729433
-22.891041,24,82.749892
-19.735539,47,82.789341
-15.481657,23,82.80859
-1.012322,13,82.819643
-63.63754,76,82.884096
-797.378455,1000,83.99669
-35.814232,56,84.04437
-821.186397,1000,84.900103
-17.25318,16,84.913846
-38.378646,72,85.230871
-14.457032,44,85.26824
-19.572177,29,85.292982
