#{"t_start": 1764883055.9193907, "env_id": "Ant-v5"}
r,l,t
-16.148822,16,74.565094
-19.703626,36,74.602734
-28.079952,38,74.6411
0.185765,11,74.651686
-50.08949,51,74.701766
-883.989551,1000,75.974163
-13.66727,20,75.99286
-45.189571,64,76.052277
-32.756255,28,76.080047
-99.110351,88,76.168898
-7.036489,12,76.179953
-7.197383,24,76.205145
7.099275,26,76.23308
-88.303593,58,76.291167
-117.338534,115,76.39614
9.249169,58,76.448949
-5.527934,8,76.455945
-54.656699,40,76.492576
-56.264088,36,76.524773
-51.999922,70,76.600727
-178.124146,140,76.729183
-37.007586,44,76.769738
-38.40881,35,76.805018
-37.593435,90,76.892663
-17.793402,15,76.910201
-13.281708,22,76.93
10.375428,30,76.958041
-73.23877,44,76.997976
-36.162145,28,77.024357
-92.203567,71,77.092612
-38.997182,33,77.123132
-35.750057,34,77.154005
-31.743474,26,77.17723
-7.414915,37,77.210707
-5.595299,36,77.243899
-10.712221,18,77.260648
-38.535291,34,77.293009
-189.993799,111,77.400479
-46.755203,70,77.466867
-97.050106,73,77.53357
-11.255943,10,77.54346
-31.378341,50,77.592245
-22.940897,24,77.616251
-24.299514,36,77.650055
-941.22431,1000,78.912671
-11.573447,13,78.925406
-36.075947,42,78.96499
-22.192657,12,78.97564
-52.256936,26,79.001178
-9.645243,16,79.015644
-53.827793,58,79.070485
-7.809185,12,79.081774
-27.318243,21,79.102407
-96.942096,108,79.224925
-35.663725,73,79.300676
-27.545921,16,79.319486
-28.792985,27,79.348748
-21.597078,38,79.387038
-19.506423,22,79.408272
-34.792168,48,79.455473
-44.502966,41,79.493659
-54.625791,29,79.526147
-9.779736,11,79.536011
-974.241616,1000,80.827905
-89.297587,99,80.920566
-889.172473,1000,81.882989
-17.934754,32,81.913516
-52.785157,31,81.942944
-17.167127,19,81.9596
-493.354157,545,82.744299
-85.183083,77,82.815141
-9.943214,11,82.825186
-901.88812,1000,83.767397
-66.232395,69,83.82966
-33.055021,37,83.864368
-837.003645,1000,85.081829
-44.823276,51,85.129551
1.938852,13,85.141385
-10.057444,20,85.159945
-48.817704,46,85.201414
-65.499403,62,85.260343
-86.353227,98,87.270075
-48.963647,43,87.31255
-23.59409,35,87.343539
-19.391999,28,87.370115
-54.982913,102,87.464896
-43.986433,30,87.493114
-72.137326,62,87.549643
1.818004,12,87.560981
-9.782574,13,87.572815
-44.347423,43,87.611741
-53.729787,35,87.643461
-62.246826,58,87.696895
-23.930894,21,87.715974
-52.227091,70,87.779668
-10.242007,14,87.792242
-23.634893,30,87.820399
-15.001441,12,87.831517
-67.899939,110,87.932677
-25.603874,37,87.96721
-27.840506,18,87.982738
-32.530251,73,88.05089
-23.785415,48,88.096573
-854.379639,1000,89.322679
-0.217496,8,89.330554
-12.875487,59,89.387439
-23.927057,73,89.45464
-22.399302,46,89.496293
-17.173603,13,89.507978
-7.847914,35,89.540005
-29.692026,41,89.576959
-31.158592,77,89.646553
-16.017952,31,89.674775
-8.818852,17,89.69014
14.74501,32,89.71963
-8.333396,19,89.736571
8.843799,42,89.775683
-68.781523,33,89.80591
4.773055,27,89.831622
-44.72694,44,89.871971
-110.812903,153,90.011461
-65.850775,59,90.064747
-100.945297,103,90.160136
-151.142654,189,90.342315
-17.028531,9,90.35198
-8.56727,27,90.377562
-7.200267,14,90.390568
-35.387958,63,90.44857
0.321409,17,90.464242
-34.625663,20,90.482566
-830.914771,1000,91.718484
-7.454832,28,91.74449
-31.662967,56,91.796138
-39.79565,26,91.82019
-78.95453,92,91.905268
-34.36078,99,91.995363
-921.446737,1000,92.925398
