#{"t_start": 1764885283.7526534, "env_id": "Ant-v5"}
r,l,t
28.495962,102,452.622772
53.228292,79,452.742711
46.183895,274,453.167373
51.264349,54,453.252341
62.220967,89,453.399715
89.283904,252,453.790477
130.990992,159,454.031827
520.532085,1000,455.595275
11.99333,58,455.685703
59.690826,69,455.792015
687.802535,1000,457.355068
773.632408,1000,458.906533
388.319477,1000,460.455807
700.03501,1000,465.391783
822.245918,1000,466.962049
719.944285,1000,468.517623
750.86134,1000,470.063815
277.85973,387,470.662009
664.213641,1000,472.256673
768.21664,1000,473.965312
756.513769,1000,475.534317
817.149272,1000,477.122415
754.235641,1000,478.827225
766.843583,1000,485.188047
754.523769,1000,486.814409
838.946638,1000,489.15872
870.591815,1000,490.749703
821.947934,1000,492.415706
668.975235,1000,494.008635
679.913494,1000,495.591942
649.139826,1000,497.27898
697.414056,1000,498.976884
786.042888,1000,500.647466
972.445002,1000,506.817803
835.760526,1000,508.384658
678.429799,1000,510.780702
720.023377,1000,512.382166
729.640065,1000,514.001115
744.952074,1000,515.607945
726.930493,1000,517.237873
775.3535,1000,518.873994
788.213791,1000,520.466825
817.780553,1000,522.068252
376.095482,523,522.922743
689.622137,1000,529.211217
165.558712,189,529.513866
745.912921,1000,531.821568
680.741229,1000,533.457241
744.781416,1000,535.077463
798.673476,1000,536.700827
762.681166,1000,538.337367
819.126572,1000,539.95019
709.361142,1000,541.544278
338.705647,437,542.230919
360.204401,1000,543.900779
60.296339,236,544.272277
10.329081,19,544.299332
16.941036,31,544.349255
4.824181,17,544.374185
-0.384794,16,544.397929
584.271725,1000,546.88184
281.509899,274,547.313748
108.250823,136,547.529483
301.47476,325,548.054148
566.92722,1000,549.617383
503.103301,1000,551.195903
394.992495,437,551.891664
299.265809,503,552.678204
697.375826,1000,554.284382
91.786055,139,554.498372
600.224596,1000,556.05756
412.608322,1000,557.720486
773.974822,1000,559.309468
562.2042,1000,560.877568
461.798573,1000,567.438852
549.277773,1000,569.01894
137.007089,157,569.264832
46.539936,79,569.393066
232.650347,252,569.784574
24.398533,25,569.824878
600.673195,1000,571.48081
789.552461,1000,573.067425
602.362228,1000,574.693323
505.524586,1000,576.301874
586.440293,1000,577.876809
643.706037,1000,579.485435
709.980204,1000,581.065692
508.941924,1000,582.630173
480.060765,1000,589.580522
610.375482,1000,591.284962
661.543273,1000,592.884127
587.365416,1000,594.497089
693.816647,1000,596.098467
798.376368,1000,597.728539
798.945432,1000,599.315953
761.735561,1000,600.926055
765.272078,1000,602.543079
778.039521,1000,604.148715
423.844229,485,608.86253
794.535269,1000,610.435478
72.412967,92,610.5845
19.185067,22,610.616719
-2.924554,22,610.652132
342.79758,1000,612.234517
496.394362,1000,613.81236
587.596267,1000,615.401422
210.411774,343,615.94471
29.132967,69,616.058792
756.041761,1000,617.693224
407.350849,527,618.543816
783.3158,1000,620.136576
796.592455,1000,621.743792
525.649617,590,622.782184
789.777813,1000,629.255484
888.538457,1000,631.605883
810.12564,1000,633.202142
776.897013,1000,634.810745
879.150047,1000,636.481868
775.089305,1000,638.079391
908.598705,1000,639.660928
808.057567,1000,641.27188
783.614739,1000,642.836704
712.095282,1000,644.420657
859.8464,1000,648.732671
767.108766,1000,650.300375
35.725547,39,650.36122
136.88335,148,650.586316
755.885737,1000,652.134485
72.182662,109,652.302116
23.92804,49,652.380373
